,Artist,genre,gender,ngram_2,ngram_3,ngram_4
0,Aaliyah,pop,female,"[(('let', 'me'), 80), (('without', 'you'), 76), (('see', 'you'), 56), (('i', 'dont'), 51), (('it', 'baby'), 47), (('what', 'you'), 44), (('and', 'forth'), 44), (('me', 'see'), 43), (('come', 'over'), 42), (('for', 'you'), 40), (('you', 'i'), 39), (('tell', 'me'), 38), (('dont', 'wanna'), 38), (('try', 'again'), 38), (('step', 'to'), 37), (('can', 'i'), 36), (('love', 'it'), 36), (('baby', 'love'), 35), (('to', 'step'), 35), (('for', 'me'), 33)]","[(('let', 'me', 'see'), 42), (('me', 'see', 'you'), 41), (('love', 'it', 'baby'), 36), (('baby', 'love', 'it'), 35), (('i', 'dont', 'wanna'), 34), (('it', 'baby', 'love'), 34), (('to', 'step', 'to'), 32), (('nothin', 'but', 'a'), 30), (('back', 'and', 'forth'), 30), (('step', 'to', 'step'), 29), (('let', 'me', 'know'), 28), (('aint', 'nothin', 'but'), 28), (('rock', 'the', 'boat'), 28), (('what', 'you', 'sayin'), 27), (('see', 'you', 'back'), 25), (('you', 'back', 'and'), 25), (('and', 'forth', 'now'), 25), (('forth', 'now', 'check'), 25), (('now', 'check', 'it'), 25), (('can', 'i', 'come'), 25)]","[(('let', 'me', 'see', 'you'), 41), (('baby', 'love', 'it', 'baby'), 35), (('love', 'it', 'baby', 'love'), 34), (('it', 'baby', 'love', 'it'), 34), (('aint', 'nothin', 'but', 'a'), 28), (('step', 'to', 'step', 'to'), 26), (('to', 'step', 'to', 'step'), 25), (('me', 'see', 'you', 'back'), 25), (('see', 'you', 'back', 'and'), 25), (('you', 'back', 'and', 'forth'), 25), (('back', 'and', 'forth', 'now'), 25), (('and', 'forth', 'now', 'check'), 25), (('forth', 'now', 'check', 'it'), 25), (('can', 'i', 'come', 'over'), 23), (('stroke', 'it', 'for', 'me'), 22), (('off', 'and', 'try', 'again'), 22), (('without', 'you', 'i', 'dont'), 21), (('you', 'i', 'dont', 'wanna'), 21), (('you', 'might', 'also', 'like'), 20), (('i', 'dont', 'wanna', 'be'), 18)]"
1,Beyoncé,pop,female,"[(('in', 'the'), 51), (('love', 'you'), 49), (('you', 'like'), 43), (('i', 'aint'), 41), (('halo', 'halo'), 40), (('you', 'you'), 40), (('i', 'slay'), 35), (('to', 'side'), 34), (('i', 'can'), 31), (('like', 'i'), 30), (('up', 'and'), 27), (('your', 'halo'), 27), (('for', 'the'), 27), (('sorry', 'i'), 27), (('aint', 'sorry'), 27), (('side', 'to'), 27), (('all', 'night'), 26), (('slay', 'okay'), 25), (('they', 'dont'), 25), (('dont', 'love'), 25)]","[(('you', 'like', 'i'), 27), (('sorry', 'i', 'aint'), 27), (('i', 'aint', 'sorry'), 27), (('side', 'to', 'side'), 27), (('they', 'dont', 'love'), 24), (('dont', 'love', 'you'), 24), (('love', 'you', 'like'), 24), (('like', 'i', 'love'), 24), (('i', 'love', 'you'), 24), (('that', 'cherry', 'out'), 24), (('i', 'slay', 'okay'), 21), (('in', 'the', 'air'), 21), (('might', 'also', 'like'), 20), (('your', 'halo', 'halo'), 20), (('halo', 'halo', 'halo'), 20), (('turn', 'that', 'cherry'), 20), (('you', 'you', 'you'), 20), (('you', 'might', 'also'), 19), (('it', 'in', 'the'), 18), (('let', 'it', 'be'), 17)]","[(('they', 'dont', 'love', 'you'), 24), (('dont', 'love', 'you', 'like'), 24), (('love', 'you', 'like', 'i'), 24), (('you', 'like', 'i', 'love'), 24), (('like', 'i', 'love', 'you'), 24), (('sorry', 'i', 'aint', 'sorry'), 22), (('your', 'halo', 'halo', 'halo'), 20), (('turn', 'that', 'cherry', 'out'), 20), (('you', 'might', 'also', 'like'), 19), (('it', 'in', 'the', 'air'), 18), (('okay', 'i', 'slay', 'okay'), 15), (('halo', 'halo', 'halo', 'i'), 15), (('halo', 'halo', 'i', 'can'), 15), (('that', 'cherry', 'out', 'turn'), 14), (('cherry', 'out', 'turn', 'that'), 14), (('out', 'turn', 'that', 'cherry'), 14), (('smack', 'it', 'in', 'the'), 14), (('i', 'can', 'see', 'your'), 13), (('can', 'see', 'your', 'halo'), 13), (('i', 'can', 'feel', 'your'), 13)]"
2,Britney Spears,pop,female,"[(('get', 'it'), 49), (('you', 'want'), 47), (('la', 'la'), 47), (('gimme', 'gimme'), 41), (('like', 'a'), 39), (('what', 'you'), 38), (('in', 'the'), 38), (('it', 'get'), 38), (('want', 'a'), 35), (('gimme', 'more'), 34), (('yeah', 'yeah'), 30), (('let', 'me'), 30), (('more', 'gimme'), 30), (('piece', 'of'), 29), (('a', 'piece'), 28), (('of', 'the'), 27), (('of', 'me'), 27), (('oh', 'baby'), 26), (('baby', 'baby'), 22), (('ooh', 'ooh'), 22)]","[(('it', 'get', 'it'), 38), (('get', 'it', 'get'), 36), (('you', 'want', 'a'), 34), (('la', 'la', 'la'), 34), (('a', 'piece', 'of'), 27), (('want', 'a', 'piece'), 27), (('piece', 'of', 'me'), 27), (('gimme', 'more', 'gimme'), 26), (('gimme', 'gimme', 'more'), 24), (('yeah', 'yeah', 'yeah'), 22), (('let', 'me', 'see'), 22), (('you', 'might', 'also'), 20), (('might', 'also', 'like'), 20), (('oh', 'baby', 'baby'), 19), (('what', 'you', 'are'), 18), (('all', 'of', 'the'), 17), (('of', 'me', 'im'), 17), (('me', 'im', 'mrs'), 17), (('a', 'slumber', 'party'), 17), (('1', '2', '3'), 16)]","[(('get', 'it', 'get', 'it'), 36), (('you', 'want', 'a', 'piece'), 26), (('want', 'a', 'piece', 'of'), 26), (('it', 'get', 'it', 'get'), 26), (('a', 'piece', 'of', 'me'), 25), (('la', 'la', 'la', 'la'), 24), (('you', 'might', 'also', 'like'), 20), (('yeah', 'yeah', 'yeah', 'yeah'), 19), (('gimme', 'gimme', 'more', 'gimme'), 18), (('piece', 'of', 'me', 'im'), 17), (('of', 'me', 'im', 'mrs'), 16), (('more', 'gimme', 'gimme', 'more'), 15), (('like', 'a', 'slumber', 'party'), 15), (('you', 'better', 'work', 'bitch'), 14), (('work', 'work', 'work', 'work'), 14), (('boy', 'dont', 'try', 'to'), 14), (('dont', 'try', 'to', 'front'), 14), (('try', 'to', 'front', 'ii'), 14), (('to', 'front', 'ii', 'know'), 14), (('front', 'ii', 'know', 'just'), 14)]"
3,Carly Rae Jepsen,pop,female,"[(('gimmie', 'love'), 75), (('love', 'gimmie'), 69), (('really', 'really'), 55), (('i', 'want'), 47), (('for', 'you'), 47), (('to', 'the'), 46), (('you', 'want'), 45), (('i', 'wanna'), 43), (('if', 'you'), 42), (('want', 'me'), 40), (('that', 'i'), 38), (('na', 'na'), 36), (('and', 'i'), 35), (('too', 'much'), 32), (('i', 'know'), 30), (('i', 'will'), 30), (('on', 'my'), 27), (('take', 'me'), 27), (('will', 'be'), 27), (('do', 'you'), 26)]","[(('gimmie', 'love', 'gimmie'), 69), (('love', 'gimmie', 'love'), 63), (('really', 'really', 'really'), 44), (('you', 'want', 'me'), 40), (('na', 'na', 'na'), 27), (('i', 'will', 'be'), 27), (('run', 'away', 'with'), 23), (('back', 'on', 'my'), 23), (('on', 'my', 'beat'), 23), (('do', 'you', 'want'), 22), (('la', 'la', 'la'), 22), (('away', 'with', 'me'), 21), (('you', 'might', 'also'), 20), (('might', 'also', 'like'), 20), (('i', 'wanna', 'cut'), 20), (('i', 'want', 'you'), 19), (('is', 'this', 'too'), 18), (('now', 'that', 'i'), 18), (('that', 'i', 'found'), 18), (('cut', 'to', 'the'), 17)]","[(('gimmie', 'love', 'gimmie', 'love'), 63), (('love', 'gimmie', 'love', 'gimmie'), 57), (('really', 'really', 'really', 'really'), 33), (('back', 'on', 'my', 'beat'), 23), (('do', 'you', 'want', 'me'), 22), (('run', 'away', 'with', 'me'), 21), (('you', 'might', 'also', 'like'), 20), (('la', 'la', 'la', 'la'), 20), (('na', 'na', 'na', 'na'), 18), (('now', 'that', 'i', 'found'), 18), (('cut', 'to', 'the', 'feeling'), 17), (('i', 'wanna', 'cut', 'to'), 16), (('wanna', 'cut', 'to', 'the'), 16), (('show', 'me', 'if', 'you'), 16), (('that', 'i', 'found', 'you'), 16), (('you', 'want', 'me', 'too'), 15), (('i', 'will', 'be', 'your'), 15), (('me', 'if', 'you', 'want'), 14), (('if', 'you', 'want', 'me'), 14), (('will', 'be', 'your', 'friend'), 14)]"
4,Charli XCX,pop,female,"[(('it', 'i'), 273), (('i', 'got'), 192), (('got', 'it'), 191), (('shake', 'it'), 157), (('party', 'on'), 128), (('i', 'shake'), 126), (('of', 'my'), 115), (('on', 'you'), 101), (('out', 'of'), 100), (('you', 'party'), 80), (('it', 'on'), 74), (('lock', 'it'), 71), (('blame', 'it'), 69), (('your', 'love'), 68), (('it', 'lock'), 67), (('on', 'your'), 66), (('i', 'blame'), 60), (('i', 'like'), 57), (('my', 'head'), 54), (('like', 'i'), 51)]","[(('i', 'got', 'it'), 186), (('got', 'it', 'i'), 177), (('it', 'i', 'got'), 177), (('i', 'shake', 'it'), 125), (('out', 'of', 'my'), 94), (('party', 'on', 'you'), 88), (('shake', 'it', 'i'), 81), (('on', 'you', 'party'), 80), (('you', 'party', 'on'), 80), (('it', 'i', 'shake'), 78), (('blame', 'it', 'on'), 69), (('it', 'lock', 'it'), 67), (('it', 'on', 'your'), 63), (('i', 'blame', 'it'), 60), (('on', 'your', 'love'), 60), (('of', 'my', 'head'), 48), (('of', 'my', 'out'), 45), (('my', 'out', 'of'), 45), (('i', 'like', 'i'), 44), (('like', 'i', 'like'), 44)]","[(('got', 'it', 'i', 'got'), 177), (('i', 'got', 'it', 'i'), 176), (('it', 'i', 'got', 'it'), 175), (('party', 'on', 'you', 'party'), 80), (('on', 'you', 'party', 'on'), 80), (('i', 'shake', 'it', 'i'), 78), (('shake', 'it', 'i', 'shake'), 77), (('it', 'i', 'shake', 'it'), 77), (('blame', 'it', 'on', 'your'), 63), (('i', 'blame', 'it', 'on'), 60), (('it', 'on', 'your', 'love'), 60), (('out', 'of', 'my', 'head'), 48), (('out', 'of', 'my', 'out'), 45), (('of', 'my', 'out', 'of'), 45), (('i', 'like', 'i', 'like'), 44), (('my', 'out', 'of', 'my'), 42), (('lock', 'it', 'lock', 'it'), 40), (('you', 'party', 'on', 'you'), 40), (('on', 'your', 'love', 'i'), 38), (('it', 'lock', 'it', 'lock'), 36)]"
5,Dua Lipa,pop,female,"[(('come', 'on'), 50), (('the', 'one'), 50), (('i', 'know'), 49), (('be', 'the'), 39), (('i', 'cant'), 37), (('will', 'be'), 36), (('yeah', 'yeah'), 32), (('in', 'love'), 29), (('i', 'go'), 29), (('you', 'got'), 28), (('on', 'come'), 28), (('boys', 'will'), 28), (('be', 'boys'), 28), (('all', 'night'), 26), (('if', 'you'), 25), (('one', 'be'), 24), (('i', 'was'), 23), (('got', 'me'), 22), (('i', 'got'), 21), (('i', 'need'), 21)]","[(('be', 'the', 'one'), 39), (('come', 'on', 'come'), 28), (('on', 'come', 'on'), 28), (('boys', 'will', 'be'), 28), (('will', 'be', 'boys'), 28), (('yeah', 'yeah', 'yeah'), 24), (('the', 'one', 'be'), 24), (('one', 'be', 'the'), 24), (('be', 'boys', 'will'), 21), (('you', 'might', 'also'), 20), (('might', 'also', 'like'), 20), (('you', 'got', 'me'), 19), (('got', 'me', 'in'), 17), (('me', 'in', 'love'), 17), (('in', 'love', 'again'), 17), (('could', 'be', 'the'), 15), (('bad', 'bad', 'bad'), 15), (('thats', 'what', 'makes'), 14), (('what', 'makes', 'us'), 14), (('dont', 'dont', 'dont'), 13)]","[(('come', 'on', 'come', 'on'), 28), (('boys', 'will', 'be', 'boys'), 28), (('be', 'the', 'one', 'be'), 24), (('the', 'one', 'be', 'the'), 24), (('one', 'be', 'the', 'one'), 24), (('will', 'be', 'boys', 'will'), 21), (('be', 'boys', 'will', 'be'), 21), (('you', 'might', 'also', 'like'), 20), (('on', 'come', 'on', 'come'), 20), (('you', 'got', 'me', 'in'), 17), (('got', 'me', 'in', 'love'), 17), (('me', 'in', 'love', 'again'), 17), (('yeah', 'yeah', 'yeah', 'yeah'), 16), (('could', 'be', 'the', 'one'), 15), (('thats', 'what', 'makes', 'us'), 14), (('i', 'could', 'be', 'the'), 13), (('i', 'know', 'i', 'know'), 12), (('what', 'makes', 'us', 'good'), 12), (('makes', 'us', 'good', 'in'), 12), (('us', 'good', 'in', 'bed'), 12)]"
6,Madonna,pop,female,"[(('wake', 'up'), 64), (('up', 'wake'), 56), (('like', 'a'), 54), (('it', 'all'), 41), (('sorry', 'sorry'), 40), (('i', 'dont'), 38), (('and', 'i'), 37), (('all', 'before'), 37), (('a', 'material'), 36), (('ive', 'heard'), 34), (('heard', 'it'), 34), (('your', 'love'), 32), (('got', 'to'), 31), (('you', 'know'), 28), (('youve', 'got'), 28), (('so', 'slowly'), 27), (('in', 'a'), 24), (('do', 'you'), 24), (('a', 'prayer'), 23), (('to', 'me'), 23)]","[(('wake', 'up', 'wake'), 56), (('up', 'wake', 'up'), 56), (('it', 'all', 'before'), 37), (('ive', 'heard', 'it'), 34), (('heard', 'it', 'all'), 34), (('youve', 'got', 'to'), 28), (('sorry', 'sorry', 'sorry'), 28), (('like', 'a', 'prayer'), 23), (('a', 'material', 'world'), 23), (('living', 'in', 'a'), 22), (('in', 'a', 'material'), 22), (('just', 'like', 'a'), 21), (('all', 'before', 'ive'), 21), (('before', 'ive', 'heard'), 21), (('you', 'might', 'also'), 20), (('might', 'also', 'like'), 19), (('its', 'like', 'a'), 18), (('im', 'hung', 'up'), 18), (('make', 'up', 'make'), 18), (('up', 'make', 'up'), 18)]","[(('wake', 'up', 'wake', 'up'), 56), (('up', 'wake', 'up', 'wake'), 52), (('ive', 'heard', 'it', 'all'), 34), (('heard', 'it', 'all', 'before'), 34), (('living', 'in', 'a', 'material'), 22), (('in', 'a', 'material', 'world'), 22), (('it', 'all', 'before', 'ive'), 21), (('all', 'before', 'ive', 'heard'), 21), (('before', 'ive', 'heard', 'it'), 21), (('you', 'might', 'also', 'like'), 19), (('make', 'up', 'make', 'up'), 18), (('up', 'make', 'up', 'make'), 16), (('sorry', 'sorry', 'sorry', 'sorry'), 16), (('just', 'like', 'a', 'prayer'), 14), (('time', 'goes', 'by', 'so'), 14), (('goes', 'by', 'so', 'slowly'), 14), (('so', 'slowly', 'so', 'slowly'), 13), (('slowly', 'so', 'slowly', 'so'), 13), (('tick', 'tock', 'tick', 'tock'), 12), (('do', 'you', 'like', 'to'), 12)]"
7,Michael Jackson,pop,male,"[(('ma', 'ma'), 87), (('dont', 'stop'), 73), (('you', 'know'), 71), (('why', 'why'), 67), (('yeah', 'yeah'), 64), (('beat', 'it'), 60), (('what', 'about'), 56), (('keep', 'on'), 46), (('in', 'the'), 44), (('are', 'you'), 43), (('you', 'okay'), 43), (('with', 'the'), 42), (('it', 'beat'), 41), (('about', 'us'), 40), (('do', 'you'), 38), (('the', 'force'), 38), (('til', 'you'), 37), (('get', 'enough'), 37), (('sa', 'ma'), 36), (('dirty', 'diana'), 36)]","[(('why', 'why', 'why'), 47), (('are', 'you', 'okay'), 43), (('beat', 'it', 'beat'), 41), (('it', 'beat', 'it'), 41), (('sa', 'ma', 'ma'), 36), (('keep', 'on', 'with'), 36), (('on', 'with', 'the'), 36), (('til', 'you', 'get'), 36), (('you', 'get', 'enough'), 36), (('with', 'the', 'force'), 35), (('the', 'force', 'dont'), 35), (('force', 'dont', 'stop'), 35), (('dont', 'stop', 'til'), 35), (('stop', 'til', 'you'), 35), (('annie', 'are', 'you'), 30), (('remember', 'the', 'time'), 30), (('ma', 'ma', 'se'), 29), (('ma', 'se', 'ma'), 29), (('se', 'ma', 'ma'), 29), (('ma', 'ma', 'sa'), 29)]","[(('beat', 'it', 'beat', 'it'), 41), (('keep', 'on', 'with', 'the'), 36), (('til', 'you', 'get', 'enough'), 36), (('on', 'with', 'the', 'force'), 35), (('with', 'the', 'force', 'dont'), 35), (('the', 'force', 'dont', 'stop'), 35), (('dont', 'stop', 'til', 'you'), 35), (('stop', 'til', 'you', 'get'), 35), (('annie', 'are', 'you', 'okay'), 30), (('ma', 'ma', 'se', 'ma'), 29), (('ma', 'se', 'ma', 'ma'), 29), (('se', 'ma', 'ma', 'sa'), 29), (('ma', 'ma', 'sa', 'ma'), 29), (('ma', 'sa', 'ma', 'ma'), 29), (('sa', 'ma', 'ma', 'coo'), 29), (('ma', 'ma', 'coo', 'sa'), 29), (('it', 'beat', 'it', 'beat'), 28), (('you', 'get', 'enough', 'keep'), 28), (('get', 'enough', 'keep', 'on'), 28), (('enough', 'keep', 'on', 'with'), 28)]"
8,Olivia Rodrigo,pop,female,"[(('and', 'i'), 57), (('i', 'know'), 40), (('i', 'want'), 35), (('get', 'him'), 33), (('him', 'back'), 29), (('i', 'was'), 23), (('but', 'i'), 21), (('all', 'the'), 21), (('i', 'wanna'), 21), (('you', 'might'), 20), (('might', 'also'), 20), (('also', 'like'), 20), (('and', 'im'), 20), (('for', 'you'), 19), (('want', 'to'), 19), (('i', 'dont'), 19), (('that', 'i'), 18), (('oh', 'oh'), 18), (('to', 'get'), 18), (('do', 'you'), 17)]","[(('get', 'him', 'back'), 29), (('you', 'might', 'also'), 20), (('might', 'also', 'like'), 20), (('i', 'want', 'to'), 19), (('want', 'to', 'get'), 17), (('to', 'get', 'him'), 17), (('good', 'for', 'you'), 14), (('oh', 'oh', 'oh'), 13), (('its', 'social', 'suicide'), 13), (('but', 'then', 'i'), 11), (('then', 'i', 'i'), 11), (('i', 'i', 'want'), 11), (('makin', 'the', 'bed'), 11), (('you', 'get', 'déjà'), 9), (('get', 'déjà', 'vu'), 9), (('i', 'know', 'that'), 9), (('i', 'know', 'i'), 9), (('him', 'back', 'i'), 9), (('and', 'i', 'know'), 8), (('back', 'i', 'wanna'), 8)]","[(('you', 'might', 'also', 'like'), 20), (('i', 'want', 'to', 'get'), 17), (('want', 'to', 'get', 'him'), 17), (('to', 'get', 'him', 'back'), 17), (('but', 'then', 'i', 'i'), 11), (('then', 'i', 'i', 'want'), 11), (('i', 'i', 'want', 'to'), 11), (('oh', 'oh', 'oh', 'oh'), 11), (('you', 'get', 'déjà', 'vu'), 9), (('get', 'him', 'back', 'i'), 9), (('me', 'whos', 'been', 'makin'), 8), (('whos', 'been', 'makin', 'the'), 8), (('been', 'makin', 'the', 'bed'), 8), (('i', 'hope', 'youre', 'happy'), 7), (('him', 'back', 'i', 'wanna'), 7), (('love', 'is', 'never', 'logical'), 7), (('do', 'you', 'get', 'déjà'), 6), (('well', 'good', 'for', 'you'), 6), (('i', 'wanna', 'get', 'him'), 6), (('wanna', 'get', 'him', 'back'), 6)]"
9,Taylor Swift,pop,female,"[(('i', 'was'), 50), (('and', 'i'), 44), (('in', 'the'), 44), (('made', 'me'), 42), (('what', 'you'), 41), (('look', 'what'), 39), (('me', 'do'), 33), (('was', 'there'), 31), (('it', 'all'), 30), (('do', 'look'), 29), (('you', 'just'), 26), (('wanna', 'be'), 25), (('i', 'dont'), 24), (('ohoh', 'ohoh'), 24), (('you', 'made'), 22), (('be', 'your'), 22), (('in', 'my'), 21), (('you', 'might'), 21), (('for', 'the'), 21), (('i', 'wanna'), 21)]","[(('look', 'what', 'you'), 39), (('made', 'me', 'do'), 33), (('i', 'was', 'there'), 31), (('me', 'do', 'look'), 29), (('do', 'look', 'what'), 29), (('you', 'made', 'me'), 22), (('wanna', 'be', 'your'), 21), (('you', 'might', 'also'), 20), (('might', 'also', 'like'), 20), (('what', 'you', 'made'), 20), (('i', 'wanna', 'be'), 20), (('was', 'there', 'i'), 19), (('what', 'you', 'just'), 19), (('you', 'just', 'made'), 19), (('just', 'made', 'me'), 19), (('ohoh', 'ohoh', 'ohoh'), 18), (('youre', 'losin', 'me'), 17), (('remember', 'it', 'all'), 14), (('there', 'i', 'was'), 14), (('all', 'too', 'well'), 13)]","[(('made', 'me', 'do', 'look'), 29), (('me', 'do', 'look', 'what'), 29), (('do', 'look', 'what', 'you'), 29), (('you', 'might', 'also', 'like'), 20), (('look', 'what', 'you', 'made'), 20), (('what', 'you', 'made', 'me'), 20), (('you', 'made', 'me', 'do'), 20), (('i', 'wanna', 'be', 'your'), 20), (('i', 'was', 'there', 'i'), 19), (('look', 'what', 'you', 'just'), 19), (('what', 'you', 'just', 'made'), 19), (('you', 'just', 'made', 'me'), 19), (('was', 'there', 'i', 'was'), 14), (('there', 'i', 'was', 'there'), 14), (('just', 'made', 'me', 'do'), 13), (('ohoh', 'ohoh', 'ohoh', 'ohoh'), 12), (('let', 'the', 'games', 'begin'), 12), (('remember', 'it', 'all', 'too'), 11), (('it', 'all', 'too', 'well'), 11), (('for', 'the', 'hope', 'of'), 11)]"
10,Black Sabbath,rock,male,"[(('might', 'also'), 20), (('also', 'like'), 20), (('you', 'might'), 18), (('on', 'and'), 16), (('and', 'on'), 16), (('god', 'is'), 14), (('is', 'dead'), 13), (('im', 'going'), 12), (('oh', 'yeah'), 11), (('in', 'the'), 11), (('the', 'world'), 10), (('i', 'saw'), 10), (('and', 'you'), 9), (('you', 'know'), 9), (('dead', 'god'), 9), (('saw', 'it'), 8), (('of', 'the'), 7), (('children', 'of'), 7), (('in', 'my'), 7), (('tell', 'you'), 6)]","[(('might', 'also', 'like'), 20), (('you', 'might', 'also'), 18), (('on', 'and', 'on'), 16), (('god', 'is', 'dead'), 13), (('and', 'on', 'and'), 10), (('is', 'dead', 'god'), 9), (('dead', 'god', 'is'), 9), (('i', 'saw', 'it'), 8), (('im', 'going', 'to'), 6), (('going', 'to', 'feel'), 6), (('im', 'going', 'through'), 6), (('going', 'through', 'changes'), 6), (('saw', 'it', 'i'), 6), (('a', 'little', 'bit'), 6), (('little', 'bit', 'too'), 6), (('bit', 'too', 'strong'), 6), (('children', 'of', 'the'), 5), (('in', 'the', 'sky'), 5), (('to', 'feel', 'im'), 4), (('feel', 'im', 'going'), 4)]","[(('you', 'might', 'also', 'like'), 18), (('on', 'and', 'on', 'and'), 10), (('and', 'on', 'and', 'on'), 10), (('god', 'is', 'dead', 'god'), 9), (('is', 'dead', 'god', 'is'), 9), (('dead', 'god', 'is', 'dead'), 9), (('im', 'going', 'to', 'feel'), 6), (('im', 'going', 'through', 'changes'), 6), (('i', 'saw', 'it', 'i'), 6), (('a', 'little', 'bit', 'too'), 6), (('little', 'bit', 'too', 'strong'), 6), (('going', 'to', 'feel', 'im'), 4), (('to', 'feel', 'im', 'going'), 4), (('feel', 'im', 'going', 'to'), 4), (('its', 'on', 'and', 'on'), 4), (('yeah', 'fairies', 'wear', 'boots'), 4), (('fairies', 'wear', 'boots', 'and'), 4), (('wear', 'boots', 'and', 'you'), 4), (('boots', 'and', 'you', 'gotta'), 4), (('and', 'you', 'gotta', 'believe'), 4)]"
11,Deep Purple,rock,male,"[(('come', 'on'), 26), (('ive', 'been'), 22), (('im', 'a'), 21), (('might', 'also'), 20), (('yeah', 'yeah'), 19), (('on', 'the'), 18), (('also', 'like'), 18), (('you', 'might'), 16), (('space', 'truckin'), 16), (('on', 'come'), 16), (('oh', 'oh'), 15), (('its', 'a'), 13), (('you', 'know'), 13), (('in', 'the'), 12), (('a', 'long'), 11), (('long', 'way'), 11), (('like', 'a'), 10), (('i', 'love'), 10), (('i', 'need'), 10), (('i', 'got'), 10)]","[(('might', 'also', 'like'), 18), (('you', 'might', 'also'), 16), (('come', 'on', 'come'), 16), (('on', 'come', 'on'), 16), (('yeah', 'yeah', 'yeah'), 13), (('a', 'long', 'way'), 11), (('im', 'a', 'speed'), 10), (('a', 'speed', 'king'), 10), (('oh', 'oh', 'oh'), 9), (('nananana', 'nanana', 'nanana'), 9), (('where', 'youre', 'from'), 9), (('its', 'a', 'long'), 8), (('its', 'coming', 'your'), 7), (('coming', 'your', 'way'), 7), (('ive', 'been', 'losing'), 7), (('smoke', 'on', 'the'), 6), (('on', 'the', 'water'), 6), (('aaahaaahaaah', 'aaahaaahaaah', 'aaahahah'), 6), (('im', 'a', 'highway'), 6), (('a', 'highway', 'star'), 6)]","[(('come', 'on', 'come', 'on'), 16), (('you', 'might', 'also', 'like'), 14), (('im', 'a', 'speed', 'king'), 10), (('on', 'come', 'on', 'come'), 8), (('its', 'a', 'long', 'way'), 8), (('yeah', 'yeah', 'yeah', 'yeah'), 7), (('its', 'coming', 'your', 'way'), 7), (('smoke', 'on', 'the', 'water'), 6), (('im', 'a', 'highway', 'star'), 6), (('yeah', 'im', 'a', 'speed'), 6), (('oh', 'oh', 'oh', 'oh'), 5), (('nananana', 'nanana', 'nanana', 'nananana'), 5), (('nanana', 'nanana', 'nananana', 'nanana'), 5), (('nanana', 'nananana', 'nanana', 'nanana'), 5), (('space', 'truckin', 'come', 'on'), 5), (('truckin', 'come', 'on', 'come'), 5), (('space', 'truckin', 'yeah', 'yeah'), 5), (('truckin', 'yeah', 'yeah', 'yeah'), 5), (('yeah', 'yeah', 'yeah', 'space'), 5), (('yeah', 'yeah', 'space', 'truckin'), 5)]"
12,Foo Fighters,rock,male,"[(('and', 'on'), 43), (('the', 'best'), 42), (('on', 'and'), 41), (('shame', 'shame'), 40), (('is', 'a'), 32), (('best', 'the'), 30), (('i', 'say'), 27), (('if', 'i'), 26), (('one', 'of'), 25), (('what', 'if'), 24), (('to', 'the'), 21), (('you', 'might'), 20), (('might', 'also'), 20), (('also', 'like'), 20), (('its', 'times'), 20), (('times', 'like'), 20), (('like', 'these'), 20), (('when', 'i'), 18), (('learn', 'to'), 18), (('i', 'bet'), 18)]","[(('on', 'and', 'on'), 41), (('and', 'on', 'and'), 34), (('the', 'best', 'the'), 30), (('best', 'the', 'best'), 30), (('shame', 'shame', 'shame'), 28), (('what', 'if', 'i'), 24), (('if', 'i', 'say'), 24), (('you', 'might', 'also'), 20), (('might', 'also', 'like'), 20), (('its', 'times', 'like'), 20), (('times', 'like', 'these'), 20), (('again', 'its', 'times'), 17), (('one', 'of', 'these'), 17), (('of', 'these', 'days'), 17), (('i', 'say', 'im'), 16), (('say', 'im', 'not'), 16), (('like', 'these', 'you'), 15), (('on', 'to', 'the'), 14), (('to', 'the', 'next'), 14), (('bangin', 'on', 'the'), 14)]","[(('on', 'and', 'on', 'and'), 34), (('and', 'on', 'and', 'on'), 34), (('the', 'best', 'the', 'best'), 30), (('what', 'if', 'i', 'say'), 24), (('shame', 'shame', 'shame', 'shame'), 24), (('you', 'might', 'also', 'like'), 20), (('best', 'the', 'best', 'the'), 20), (('its', 'times', 'like', 'these'), 20), (('again', 'its', 'times', 'like'), 17), (('one', 'of', 'these', 'days'), 17), (('if', 'i', 'say', 'im'), 16), (('i', 'say', 'im', 'not'), 16), (('times', 'like', 'these', 'you'), 15), (('on', 'to', 'the', 'next'), 14), (('bangin', 'on', 'the', 'ceiling'), 14), (('i', 'dont', 'owe', 'you'), 12), (('dont', 'owe', 'you', 'anything'), 12), (('just', 'waitin', 'to', 'be'), 12), (('waitin', 'to', 'be', 'rescued'), 12), (('to', 'the', 'next', 'one'), 11)]"
